Page,2015-07-01,2015-07-02,2015-07-03,2015-07-04,2015-07-05,2015-07-06,2015-07-07,2015-07-08,2015-07-09,2015-07-10,2015-07-11,2015-07-12,2015-07-13,2015-07-14,2015-07-15,2015-07-16,2015-07-17,2015-07-18,2015-07-19,2015-07-20,2015-07-21,2015-07-22,2015-07-23,2015-07-24,2015-07-25,2015-07-26,2015-07-27,2015-07-28,2015-07-29,2015-07-30,2015-07-31,2015-08-01,2015-08-02,2015-08-03,2015-08-04,2015-08-05,2015-08-06,2015-08-07,2015-08-08,2015-08-09,2015-08-10,2015-08-11,2015-08-12,2015-08-13,2015-08-14,2015-08-15,2015-08-16,2015-08-17,2015-08-18,2015-08-19,2015-08-20,2015-08-21,2015-08-22,2015-08-23,2015-08-24,2015-08-25,2015-08-26,2015-08-27,2015-08-28,2015-08-29,2015-08-30,2015-08-31,2015-09-01,2015-09-02,2015-09-03,2015-09-04,2015-09-05,2015-09-06,2015-09-07,2015-09-08,2015-09-09,2015-09-10,2015-09-11,2015-09-12,2015-09-13,2015-09-14,2015-09-15,2015-09-16,2015-09-17,2015-09-18,2015-09-19,2015-09-20,2015-09-21,2015-09-22,2015-09-23,2015-09-24,2015-09-25,2015-09-26,2015-09-27,2015-09-28,2015-09-29,2015-09-30,2015-10-01,2015-10-02,2015-10-03,2015-10-04,2015-10-05,2015-10-06,2015-10-07,2015-10-08,2015-10-09,2015-10-10,2015-10-11,2015-10-12,2015-10-13,2015-10-14,2015-10-15,2015-10-16,2015-10-17,2015-10-18,2015-10-19,2015-10-20,2015-10-21,2015-10-22,2015-10-23,2015-10-24,2015-10-25,2015-10-26,2015-10-27,2015-10-28,2015-10-29,2015-10-30,2015-10-31,2015-11-01,2015-11-02,2015-11-03,2015-11-04,2015-11-05,2015-11-06,2015-11-07,2015-11-08,2015-11-09,2015-11-10,2015-11-11,2015-11-12,2015-11-13,2015-11-14,2015-11-15,2015-11-16,2015-11-17,2015-11-18,2015-11-19,2015-11-20,2015-11-21,2015-11-22,2015-11-23,2015-11-24,2015-11-25,2015-11-26,2015-11-27,2015-11-28,2015-11-29,2015-11-30,2015-12-01,2015-12-02,2015-12-03,2015-12-04,2015-12-05,2015-12-06,2015-12-07,2015-12-08,2015-12-09,2015-12-10,2015-12-11,2015-12-12,2015-12-13,2015-12-14,2015-12-15,2015-12-16,2015-12-17,2015-12-18,2015-12-19,2015-12-20,2015-12-21,2015-12-22,2015-12-23,2015-12-24,2015-12-25,2015-12-26,2015-12-27,2015-12-28,2015-12-29,2015-12-30,2015-12-31,2016-01-01,2016-01-02,2016-01-03,2016-01-04,2016-01-05,2016-01-06,2016-01-07,2016-01-08,2016-01-09,2016-01-10,2016-01-11,2016-01-12,2016-01-13,2016-01-14,2016-01-15,2016-01-16,2016-01-17,2016-01-18,2016-01-19,2016-01-20,2016-01-21,2016-01-22,2016-01-23,2016-01-24,2016-01-25,2016-01-26,2016-01-27,2016-01-28,2016-01-29,2016-01-30,2016-01-31,2016-02-01,2016-02-02,2016-02-03,2016-02-04,2016-02-05,2016-02-06,2016-02-07,2016-02-08,2016-02-09,2016-02-10,2016-02-11,2016-02-12,2016-02-13,2016-02-14,2016-02-15,2016-02-16,2016-02-17,2016-02-18,2016-02-19,2016-02-20,2016-02-21,2016-02-22,2016-02-23,2016-02-24,2016-02-25,2016-02-26,2016-02-27,2016-02-28,2016-02-29,2016-03-01,2016-03-02,2016-03-03,2016-03-04,2016-03-05,2016-03-06,2016-03-07,2016-03-08,2016-03-09,2016-03-10
BDSM_zh.wikipedia.org_all-access_spider,25,3,3,4,12,14,16,15,22,23,19,3,42,7,7,12,11,7,10,11,12,11,16,11,6,14,3,12,19,6,10,6,12,9,5,6,5,9,7,9,6,6,6,6,10,6,10,11,14,10,5,11,9,8,12,11,11,7,7,2,7,10,2,9,7,12,6,12,9,13,11,7,6,10,6,5,12,16,10,11,12,12,6,13,15,8,10,13,19,9,13,14,12,8,9,20,9,8,20,12,23,8,11,13,4,5,9,11,9,8,4,9,5,8,9,8,35,17,7,11,24,14,5,13,15,15,9,7,3,10,7,9,1,6,9,16,4,8,12,4,4,8,15,13,2,6,12,15,13,9,6,11,7,12,17,14,13,14,13,6,10,9,9,10,20,12,7,10,7,11,8,20,16,11,15,16,15,15,8,14,22,14,13,25,10,10,12,16,19,8,9,16,18,11,21,16,15,16,11,13,9,12,20,12,9,5,13,15,13,9,8,20,14,16,10,15,20,11,9,8,14,7,10,11,11,10,15,13,7,14,16,25,11,12,9,20,18,16,15,17,14,17,17,17,17,15,6,20,23,18,21,17,16,10
BEAST_zh.wikipedia.org_all-access_spider,19,6,12,14,13,7,12,64,9,31,23,20,13,48,39,15,19,24,57,45,33,8,17,6,12,17,29,18,17,38,14,22,46,13,5,21,14,13,47,39,5,11,38,8,7,13,14,25,7,13,7,6,14,7,11,3,17,2,6,11,11,4,7,10,14,12,19,10,9,31,9,7,6,11,30,6,10,21,14,24,31,16,14,20,15,19,16,12,47,10,11,21,13,15,11,14,7,12,4,10,9,12,3,9,15,13,62,6,14,21,12,17,11,7,7,10,13,10,15,10,11,25,10,13,10,11,22,20,8,12,31,13,11,11,12,11,112,8,27,3,8,16,13,12,13,9,15,25,11,16,10,6,10,31,9,11,27,10,16,11,7,12,14,9,22,11,13,12,19,23,10,11,19,9,33,14,11,37,12,6,12,55,12,77,13,10,9,13,7,16,8,33,11,24,18,11,25,11,19,10,15,13,8,21,16,13,10,14,17,11,20,38,13,16,11,13,7,11,20,13,10,16,15,15,14,24,14,21,84,9,17,14,9,12,7,10,9,37,14,15,12,18,17,13,12,14,10,18,9,13,26,95,55,8
BIGBANG_zh.wikipedia.org_all-access_spider,23,24,31,9,21,27,15,8,50,78,74,35,27,19,11,17,34,14,13,22,10,11,13,18,14,26,12,14,25,16,40,16,12,16,20,11,11,13,7,18,17,27,19,12,15,26,33,34,12,9,9,31,30,19,37,11,7,5,13,16,14,9,10,12,17,14,27,3,8,10,13,9,3,14,5,10,10,15,23,20,16,28,24,16,20,33,26,24,28,18,23,17,27,21,41,23,33,17,21,18,20,20,16,19,15,20,16,18,20,17,15,20,21,18,23,18,12,26,21,26,21,28,27,41,15,24,11,18,18,41,19,18,16,25,36,18,11,13,22,19,12,14,15,17,14,19,19,13,23,18,24,17,17,18,92,36,30,35,20,26,15,18,20,15,24,22,18,16,23,38,19,39,55,27,16,21,30,20,42,31,25,19,17,17,23,17,29,32,25,32,31,84,32,25,29,19,24,44,25,20,22,21,27,68,69,27,30,31,21,35,15,35,28,37,29,27,26,24,24,21,20,18,35,19,39,27,18,31,16,23,23,36,23,19,11,31,18,21,18,39,27,32,25,17,16,17,27,30,32,37,27,21,15,12
BLACK_PINK_zh.wikipedia.org_all-access_spider,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLEACH_zh.wikipedia.org_all-access_spider,11,5,13,8,6,5,8,5,12,3,10,17,6,6,37,15,29,8,5,16,14,13,10,10,7,5,8,11,22,8,16,7,14,9,3,7,7,9,6,5,11,11,9,7,7,5,9,79,46,7,7,6,3,9,7,5,6,8,5,10,2,3,6,18,28,31,31,12,8,8,6,7,19,14,7,10,2,10,13,12,10,6,14,11,8,33,12,8,4,12,6,18,5,25,12,11,15,27,18,7,20,10,6,12,11,9,9,11,9,17,11,9,5,9,9,13,7,13,10,29,15,32,23,13,7,9,5,36,22,20,19,6,7,8,21,3,5,12,10,4,7,11,12,23,14,12,28,9,16,15,10,12,8,13,15,3,8,65,12,16,9,6,12,7,11,11,9,10,13,10,18,12,8,10,8,8,11,9,10,8,11,12,14,8,8,12,7,13,7,10,11,11,16,15,26,9,10,11,13,10,12,16,4,44,28,10,9,17,11,7,12,16,19,16,28,15,14,15,16,14,15,9,14,11,9,12,7,8,10,6,11,13,16,14,5,9,18,8,16,22,22,19,18,21,98,12,8,35,15,23,21,8,7,13
BTOB_zh.wikipedia.org_all-access_spider,22,67,26,34,38,13,17,33,43,32,43,26,44,37,17,18,33,47,45,63,72,57,9,52,62,35,21,14,19,68,35,52,22,26,32,60,6,71,27,6,202,30,21,12,63,28,13,67,32,11,17,24,27,32,39,24,26,14,15,12,15,5,6,19,41,21,15,16,21,18,28,16,41,29,30,60,54,42,129,32,34,38,205,36,80,57,47,25,52,77,59,28,58,40,74,76,103,30,62,17,41,24,71,75,75,72,89,26,44,63,47,57,149,105,58,39,79,82,29,37,30,20,25,15,14,62,28,37,29,31,15,35,103,80,19,11,66,25,263,20,15,31,23,16,13,21,40,54,46,56,39,24,56,26,25,24,7,24,9,23,7,81,16,9,13,8,10,17,17,57,18,13,10,8,39,10,7,15,5,11,39,8,17,8,27,52,59,13,11,30,10,15,19,20,20,95,67,41,26,63,50,22,109,8,16,34,26,47,21,6,53,98,50,52,15,13,53,37,52,31,19,43,12,19,20,32,50,42,56,16,18,43,30,20,15,13,11,15,14,10,22,25,19,31,23,76,24,15,25,28,28,17,11,14
Beautiful_Mind_zh.wikipedia.org_all-access_spider,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,7,1,6,3,4,0,1,1,8,3,1,0,0,2,1,8,1,0,2,2,2,1,3,1,2,1,7,7,2,2,1,0,1,6,2,0,1,2,1,2,1,2,0,3,4,0,2,2,2,0,1,2,3,3,1,0,2,2,0,1,0,4,4,3,1,4,0,3,2,0,5,2,1,2,1,3,0,0,2,2,2,0,0,3,2,1,2,1,1,1,1,9,0,3,1,1,0,4,3,2,1,3,3,2,0,3,0,4,2,4,0,0,3,3,0,2,1,1,1,1,4,4,2,2,2,4,5,3,1,0,2,3,2,0,2,3,5,2,1,1,4,6,2,3,2,1,1,3,3,3,3,3,2,3,2,2,3,3,5,1,3,2,4,4,2,3,,1,3,3,3,4,3,2,7,1,3,3,3,0,1,4,0,0,2,39,1,17,6,19,2,0,1,4,3,20,1,1,9,2,8,3,2,18,27,51,4,4,6,13,18
Beyond_zh.wikipedia.org_all-access_spider,291,64,26,20,28,6,20,10,48,17,14,10,19,17,9,14,12,9,21,7,9,14,17,12,14,11,9,15,9,11,14,148,9,7,9,8,11,7,7,15,5,16,16,11,5,16,7,5,11,15,6,21,8,11,6,4,3,9,14,4,16,17,8,6,14,7,16,14,29,8,15,5,12,8,6,9,8,15,10,10,8,25,15,8,25,33,14,9,58,9,89,9,6,14,33,22,15,18,14,5,7,11,8,5,11,10,11,10,9,32,11,14,10,8,8,15,11,13,9,5,12,15,14,6,7,16,5,13,13,12,19,8,15,6,17,10,8,4,9,8,8,8,9,15,13,12,22,19,14,11,19,11,15,9,13,7,17,30,24,20,30,17,25,16,23,38,17,16,23,14,19,16,20,16,16,7,13,17,5,88,20,7,18,20,24,12,17,8,13,17,14,17,10,16,8,24,6,8,17,14,34,9,23,20,11,14,19,18,9,8,27,17,9,8,13,18,11,7,10,6,10,5,81,6,11,13,15,9,24,14,14,20,24,13,19,19,13,24,19,10,9,20,68,18,20,6,16,18,17,23,13,12,11,19
Big_zh.wikipedia.org_all-access_spider,3,53,11,3,4,3,11,9,5,16,19,3,11,14,14,8,14,2,5,33,5,8,14,6,6,3,7,6,7,5,3,5,7,5,6,8,8,4,3,2,4,6,2,7,11,11,1,7,4,4,5,5,7,4,4,3,5,7,5,5,6,4,2,7,6,1,11,8,5,6,4,6,8,9,10,3,6,10,8,4,6,12,5,9,6,9,11,9,7,11,2,2,7,6,6,9,5,4,6,2,5,6,6,3,2,4,1,8,4,10,2,10,3,5,7,4,6,5,5,5,3,5,6,4,5,10,9,5,7,2,12,3,3,3,8,8,4,10,6,3,8,3,7,7,7,8,5,5,5,5,9,5,5,10,5,3,9,6,9,4,6,1,13,6,5,7,8,3,5,6,2,6,5,9,5,3,4,7,8,5,8,5,7,7,8,3,7,4,6,6,2,10,4,9,12,3,7,10,6,5,13,9,14,6,13,5,8,11,12,7,7,10,9,6,7,7,12,5,8,15,6,5,7,5,3,1,3,8,7,4,7,11,8,11,8,5,4,4,25,3,6,12,11,4,8,8,5,4,9,13,9,10,7,1
Block_B_zh.wikipedia.org_all-access_spider,10,9,5,4,15,3,5,8,5,4,13,14,6,11,2,7,6,6,35,2,6,12,11,13,14,4,11,11,14,9,3,22,11,4,10,9,2,5,12,7,8,18,5,4,6,9,7,9,6,4,4,2,3,17,6,2,2,6,8,6,12,21,15,5,7,9,16,11,6,0,5,8,4,6,10,10,7,5,9,7,3,11,10,46,7,12,10,16,4,5,8,8,9,22,22,16,9,6,5,12,8,7,6,5,13,18,13,9,13,8,20,10,17,7,15,8,11,2,10,8,36,11,10,18,16,15,6,20,8,5,11,10,8,10,7,52,4,39,6,6,8,28,10,9,14,5,13,7,7,5,15,10,33,4,10,12,11,10,12,23,3,10,5,25,16,3,14,7,4,36,23,7,39,10,8,5,2,12,3,6,3,26,8,26,9,8,9,26,11,5,17,23,38,14,5,8,9,13,6,10,11,6,66,48,55,6,7,32,10,11,12,12,13,21,11,11,23,41,19,26,18,24,16,12,17,7,40,16,7,18,15,15,24,11,26,26,30,13,13,20,17,20,23,24,12,28,15,12,15,18,15,10,11,14
CHAOS;CHILD_zh.wikipedia.org_all-access_spider,2,0,1,5,5,5,2,2,3,3,3,2,3,11,2,6,6,10,3,23,2,20,48,18,3,4,4,6,11,1,2,2,3,4,4,3,2,2,5,6,5,3,4,3,2,3,5,2,4,1,4,4,3,3,3,0,3,0,5,3,4,0,5,2,7,4,2,7,4,7,1,2,2,1,1,2,5,9,3,3,2,4,6,8,3,4,5,4,6,0,4,9,3,5,4,8,2,3,4,2,5,1,0,6,1,5,3,9,4,1,3,4,0,3,3,5,3,1,2,3,3,7,5,3,2,5,1,4,4,4,5,3,1,7,4,16,1,3,2,1,3,2,4,4,4,2,3,2,2,3,4,6,2,2,3,2,4,4,2,2,2,3,5,7,8,5,5,2,1,5,5,5,3,5,5,3,6,3,5,3,3,24,4,1,0,1,4,2,10,4,3,8,3,8,5,0,8,5,5,6,2,6,35,1,6,3,2,3,0,7,3,1,24,1,1,11,6,3,4,4,1,7,5,9,2,9,4,2,8,2,6,2,7,2,4,5,9,4,3,2,2,9,5,3,3,2,4,4,5,5,8,4,0,3
CHAOS;HEAD_zh.wikipedia.org_all-access_spider,1,10,17,10,4,2,5,26,25,15,1,5,8,11,14,4,4,7,8,8,3,9,14,7,8,16,8,6,9,3,5,8,7,11,10,8,6,4,3,8,6,4,4,5,6,2,12,12,7,6,5,4,6,7,7,5,2,2,6,5,6,5,2,10,6,10,6,1,7,10,10,2,1,9,6,3,17,5,4,12,8,4,8,8,6,6,5,10,18,6,4,4,13,7,6,10,5,9,7,6,5,9,6,7,8,3,24,6,4,5,1,3,9,3,5,7,3,2,5,12,5,4,10,6,5,13,9,4,2,7,5,1,5,3,10,7,4,4,4,6,4,12,10,8,7,4,6,5,11,6,9,6,3,5,6,9,6,12,8,3,7,7,6,10,8,8,11,7,8,10,12,11,3,11,9,11,8,8,6,3,7,7,15,7,6,10,5,20,15,13,6,7,5,13,0,4,14,12,8,10,13,4,11,4,10,13,12,9,6,4,4,11,7,7,10,7,8,11,3,9,8,3,4,1,2,8,7,5,6,1,16,6,8,3,4,9,11,6,8,6,7,4,18,7,4,7,16,37,110,67,67,58,9,5
CLC_zh.wikipedia.org_all-access_spider,4,4,5,52,2,12,2,7,5,7,4,2,5,14,6,10,12,11,27,23,22,19,12,13,25,119,8,8,6,4,4,5,6,1,4,6,3,6,6,7,8,8,15,3,8,7,26,5,4,3,4,6,27,15,13,11,5,5,13,6,5,11,4,10,6,8,10,10,10,9,2,5,7,2,19,6,6,3,9,4,34,9,5,17,15,8,8,10,7,11,10,12,6,2,5,9,19,5,11,15,7,11,7,6,6,10,5,9,6,12,7,12,7,16,8,8,2,6,5,7,8,4,2,6,12,2,6,9,3,3,9,9,2,4,5,23,9,5,2,3,3,7,7,9,2,12,5,8,10,29,5,9,1,10,2,7,6,10,5,5,19,5,4,4,2,10,2,5,6,4,2,8,4,8,7,8,4,3,12,6,6,4,5,5,3,4,7,4,6,15,4,14,20,3,17,5,2,9,4,5,9,9,3,8,7,7,14,1,4,12,6,13,17,7,7,8,4,18,7,8,6,5,7,8,4,47,12,10,5,10,15,12,5,6,6,15,12,8,70,603,662,270,185,64,183,159,140,109,142,369,139,222,62,27
CNBLUE_zh.wikipedia.org_all-access_spider,26,30,22,27,27,19,34,37,24,50,46,21,27,26,16,11,17,36,8,13,4,9,12,3,13,4,13,22,22,15,17,7,19,7,8,19,11,7,5,7,13,11,4,10,6,14,11,5,22,2,15,15,9,8,32,11,37,23,8,11,17,5,4,12,25,7,22,59,8,24,8,4,17,29,17,14,33,10,14,29,14,13,10,124,43,34,50,46,20,63,54,19,21,27,13,50,12,29,8,12,26,10,12,4,19,16,16,19,24,23,18,9,13,8,20,20,17,14,14,8,43,13,9,7,14,18,488,62,10,28,16,23,11,16,9,11,157,11,12,20,10,41,13,11,15,17,18,17,10,13,14,6,16,27,33,13,9,26,17,17,13,14,10,8,10,16,10,7,20,8,17,10,12,8,15,6,7,11,20,10,15,9,14,9,10,6,11,50,49,9,17,8,26,19,8,19,15,9,23,21,14,17,8,26,27,20,13,21,11,13,160,15,52,4,10,15,17,14,19,10,11,13,9,10,4,11,17,23,16,10,12,19,14,19,18,11,19,10,17,19,14,32,31,24,22,10,16,23,17,38,29,21,14,9
DIA_zh.wikipedia.org_all-access_spider,13,29,7,1,2,34,6,97,7,2,1,1,4,7,1,2,6,4,3,1,3,10,0,105,7,1,160,22,94,23,28,59,77,111,54,11,4,4,8,18,2,2,11,32,37,44,10,8,4,6,1,4,10,2,183,43,16,18,77,9,97,40,132,140,241,97,24,221,52,59,37,113,86,196,143,476,87,148,157,217,154,113,78,78,60,70,88,21,75,41,29,91,76,35,15,51,318,50,20,25,5,61,15,47,45,43,39,25,66,32,20,62,30,9,41,7,90,22,41,28,40,42,23,40,46,64,32,34,19,24,12,81,2,43,16,50,1274,3,17,29,16,6,29,8,11,36,10,9,21,3,43,121,42,53,14,7,36,17,7,8,46,19,65,10,3,10,14,29,4,65,78,26,5,5,79,46,13,14,8,3,5,7,3,16,37,13,7,28,9,12,10,16,21,16,12,14,13,15,11,23,16,7,10,14,47,6,12,13,9,32,18,28,34,14,23,13,2,16,6,8,8,10,11,20,20,10,16,6,2,17,6,28,4,6,4,6,2,6,6,3,8,14,24,66,12,41,15,8,16,5,273,6,23,6
Daigo_zh.wikipedia.org_all-access_spider,1,2,3,2,4,1,6,3,5,4,1,4,8,8,13,4,1,12,6,14,6,2,10,5,5,8,1,4,6,2,1,2,4,6,4,3,6,0,1,7,2,1,3,3,4,2,5,5,2,0,7,4,2,6,5,0,1,4,1,2,4,0,9,3,3,4,8,5,7,4,10,2,1,6,3,3,1,8,4,0,2,0,5,1,1,5,2,4,2,4,3,2,4,3,5,6,7,7,38,45,21,29,3,4,7,4,9,13,7,0,3,18,2,0,3,8,3,3,10,5,1,7,4,5,3,4,2,4,2,10,3,4,4,2,1,1,3,1,3,1,2,20,4,1,8,3,2,1,5,4,6,2,3,3,5,1,6,3,3,3,2,6,2,5,7,6,5,3,5,2,6,10,6,4,4,4,1,5,5,3,5,3,1,3,3,6,0,3,6,3,5,2,4,6,180,9,15,10,1,11,10,26,4,4,5,7,6,4,10,6,5,11,7,9,11,7,5,13,5,7,4,7,6,6,14,12,6,5,14,2,6,16,6,3,4,6,4,11,6,6,8,11,18,7,16,14,6,8,10,6,8,4,3,6
Dear_My_Friends_zh.wikipedia.org_all-access_spider,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,1,7,11,0,7,2,1,21,3,1,2,2,0,13,2,12,2,7
Doctors_zh.wikipedia.org_all-access_spider,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EGOIST_zh.wikipedia.org_all-access_spider,1,4,3,5,3,3,0,5,3,1,2,1,3,3,2,3,2,8,5,2,2,11,7,4,5,3,4,3,2,2,5,6,3,3,3,5,0,2,2,3,6,1,5,4,3,7,8,11,6,0,0,1,4,3,0,1,4,3,2,5,6,3,0,4,8,4,2,1,7,5,4,2,7,5,3,2,5,2,1,8,2,7,8,9,2,7,4,7,6,5,3,3,3,4,7,5,8,3,3,6,5,3,7,1,7,6,9,2,4,3,5,5,2,5,6,6,6,5,9,2,9,5,6,5,5,9,4,2,2,10,7,1,2,5,2,7,3,6,12,2,4,10,5,6,7,4,8,2,8,9,11,3,4,9,10,4,5,6,7,4,4,2,11,3,6,6,5,11,9,6,7,14,4,6,3,5,10,8,12,7,11,7,13,6,6,9,6,5,6,2,20,7,19,10,18,8,9,20,18,8,10,7,4,17,10,11,15,6,12,10,3,12,11,10,15,16,8,5,6,8,5,6,9,5,7,12,4,9,3,3,7,6,9,8,6,4,5,3,5,4,12,12,9,7,6,4,3,7,12,6,10,3,11,12
EXID_zh.wikipedia.org_all-access_spider,40,9,10,6,28,41,80,44,40,108,43,30,50,28,31,136,15,31,82,25,11,39,17,11,28,32,10,29,154,24,21,31,91,29,19,32,51,34,54,33,56,55,112,6,37,13,16,26,26,39,8,73,12,15,57,182,7,17,7,18,67,32,187,73,23,11,11,26,46,11,9,12,33,13,9,14,13,20,22,46,23,69,28,85,78,53,19,26,46,23,29,28,39,373,59,63,19,53,35,14,33,34,78,23,39,11,17,57,29,27,17,12,31,32,32,28,18,20,38,31,20,17,10,69,28,10,24,46,106,27,18,57,21,9,15,98,23,52,20,188,83,52,22,157,57,47,23,54,40,41,46,110,19,14,114,65,66,50,165,44,107,79,69,55,235,115,29,17,25,24,37,47,20,20,15,36,14,38,45,62,28,331,25,63,165,60,106,33,82,162,71,103,130,127,212,31,93,64,45,49,83,84,30,79,77,65,51,52,62,94,36,41,37,57,63,58,102,27,35,31,24,25,37,288,32,44,40,66,14,56,69,27,32,33,21,43,72,49,54,34,76,35,65,55,41,41,19,111,37,109,42,35,24,10
EXO_zh.wikipedia.org_all-access_spider,35,6,41,35,31,15,36,22,13,89,121,47,30,33,11,19,25,14,15,19,12,20,13,17,32,56,13,23,27,14,14,12,21,43,22,11,11,9,14,9,4,25,14,14,21,42,11,39,15,19,13,31,17,11,239,119,57,24,13,21,17,11,8,11,15,19,17,10,12,12,12,6,12,15,14,15,14,20,35,24,20,28,22,18,19,23,22,22,22,27,23,28,19,21,21,27,20,27,26,18,19,26,21,19,21,19,21,21,23,14,25,23,17,14,20,26,22,19,20,20,22,27,19,21,32,41,11,24,31,28,29,19,19,25,13,36,33,15,20,23,23,30,22,27,66,44,32,21,24,20,36,23,17,28,32,25,26,26,29,10,18,30,30,119,42,31,21,35,22,16,29,32,29,21,27,18,18,17,22,29,30,19,26,35,35,20,22,25,32,28,22,25,37,32,38,33,39,34,29,30,46,39,52,12,35,35,41,43,37,39,36,36,32,27,37,34,38,24,28,20,36,19,29,17,42,41,40,32,36,19,34,30,28,30,41,56,20,55,29,41,35,38,25,51,60,44,34,40,35,55,23,35,19,21
Energy_zh.wikipedia.org_all-access_spider,16,7,3,3,3,5,5,4,3,4,3,17,6,14,6,3,4,7,5,2,16,22,13,8,9,10,16,11,2,2,8,4,1,13,7,4,4,3,0,3,4,9,3,5,4,6,9,3,6,5,5,5,5,4,4,3,3,9,5,5,4,5,5,6,10,3,4,3,13,9,10,2,1,5,3,4,4,6,5,8,4,9,4,12,29,5,5,6,7,2,2,8,5,10,7,7,6,2,5,2,3,8,2,4,7,4,4,6,4,3,2,3,7,8,4,5,5,1,6,4,4,3,3,5,4,3,3,6,2,0,5,4,4,3,5,8,4,8,2,4,8,5,3,4,9,8,2,2,1,3,7,5,4,4,6,8,5,14,5,10,5,4,6,8,7,8,2,20,7,6,10,2,9,7,6,9,1,6,6,6,13,30,2,2,6,10,5,3,2,3,10,10,10,11,12,3,11,17,8,6,7,9,7,10,8,4,8,3,11,7,19,8,7,8,10,5,10,8,6,3,12,6,6,3,11,13,5,7,5,6,2,15,7,8,11,4,12,9,14,9,13,9,12,8,13,5,54,70,137,106,83,78,5,3
Eric_Nam_zh.wikipedia.org_all-access_spider,7,5,11,2,7,3,2,6,9,10,1,5,6,22,5,3,6,8,3,4,6,10,9,19,8,2,4,8,9,6,5,6,7,4,4,4,2,1,4,7,1,8,0,6,3,9,1,12,5,4,4,4,2,0,3,2,2,2,3,12,4,3,2,2,7,1,4,5,10,3,4,6,1,5,3,4,5,14,2,6,6,3,9,2,7,5,7,7,5,1,5,2,4,4,3,3,7,9,3,4,2,3,5,4,4,0,8,5,6,25,0,3,1,4,3,14,6,3,7,1,7,2,4,1,3,2,3,1,5,19,4,8,3,6,3,4,0,20,2,4,4,7,0,4,7,3,2,2,4,4,4,7,14,2,2,2,22,14,54,54,49,3,8,5,6,5,5,1,8,4,4,4,4,6,3,21,3,4,5,15,2,13,5,3,2,12,1,6,3,6,6,3,1,7,18,5,8,12,9,3,8,4,8,2,4,3,8,11,11,8,20,3,8,3,4,13,6,6,9,10,5,9,7,7,6,11,4,4,3,4,5,7,6,2,5,1,2,6,7,6,9,4,11,5,9,1,23,6,15,11,8,14,1,2
FAIRY_TAIL_zh.wikipedia.org_all-access_spider,8,6,10,22,11,5,32,23,16,18,11,17,23,23,59,42,15,70,47,15,19,20,16,61,19,18,24,15,18,18,4,11,13,20,36,16,9,16,20,9,46,11,8,5,6,7,16,19,13,12,2,26,16,8,27,34,48,14,160,250,12,29,19,37,46,22,32,12,48,4,13,14,10,31,26,20,8,19,24,15,17,12,55,25,10,15,15,23,16,26,34,19,14,31,38,35,25,14,20,23,22,20,25,16,19,13,14,21,15,13,16,9,16,14,12,24,21,32,43,13,14,27,15,15,13,12,9,9,25,21,14,21,12,10,16,7,19,11,43,50,19,34,28,34,17,19,15,14,15,11,22,11,12,18,27,10,17,26,10,34,24,18,21,32,37,14,19,20,19,21,27,36,29,15,20,29,31,14,67,31,14,10,13,27,16,20,19,39,23,26,41,23,57,70,28,63,29,63,29,31,130,31,22,42,22,99,41,46,77,27,25,24,18,36,44,57,196,203,118,121,32,27,13,11,15,27,70,218,26,18,42,15,16,24,56,58,33,21,15,15,20,14,60,33,60,28,72,77,49,30,31,30,20,12
